Iteracion,AVG1,AVG2,AVG3,Mejor Costo,Peor Costo,Mejor Promedio,Píldora,Posición,Nombre del Hilo
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,1,1,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,9,2,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,7,3,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,8,4,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,10,5,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,6,6,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,4,7,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,2,8,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,5,9,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,11,10,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,12,11,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,3,12,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,18,13,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,17,14,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,20,15,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,24,16,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,13,17,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,22,18,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,16,19,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,14,20,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,19,21,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,15,22,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,23,23,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,21,24,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,31,25,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,35,26,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,27,27,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,36,28,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,26,29,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,25,30,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,29,31,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,28,32,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,30,33,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,32,34,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,34,35,Hilo 1
Iteración No. 1,183.9,NaN,NaN,129.0,262.0,97.31428571428572,33,36,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,1,1,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,3,2,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,8,3,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,9,4,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,11,5,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,2,6,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,6,7,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,7,8,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,12,9,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,4,10,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,5,11,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,16,12,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,19,13,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,14,14,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,17,15,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,13,16,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,20,17,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,15,18,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,24,19,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,18,20,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,21,21,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,22,22,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,23,23,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,26,24,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,31,25,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,25,26,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,34,27,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,36,28,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,29,29,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,28,30,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,32,31,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,30,32,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,35,33,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,33,34,Hilo 1
Iteración No. 2,181.1,NaN,NaN,64.0,270.0,99.11764705882354,27,35,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,1,1,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,11,2,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,2,3,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,4,4,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,10,5,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,3,6,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,6,7,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,12,8,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,7,9,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,8,10,Hilo 1
Iteración No. 3,163.5,NaN,NaN,33.0,259.0,100.0,9,11,Hilo 1
