No. De Iteración,ID Aprendíz,No. De Elementos,Costo de la ruta,Promedio,Valor de la Píldora,Posición
Iteración No. 1,Aprendiz 1,36,306,92.25714286,1,1
Iteración No. 1,Aprendiz 1,36,306,92.25714286,6,2
Iteración No. 1,Aprendiz 1,36,306,92.25714286,3,3
Iteración No. 1,Aprendiz 1,36,306,92.25714286,8,4
Iteración No. 1,Aprendiz 1,36,306,92.25714286,2,5
Iteración No. 1,Aprendiz 1,36,306,92.25714286,4,6
Iteración No. 1,Aprendiz 1,36,306,92.25714286,12,7
Iteración No. 1,Aprendiz 1,36,306,92.25714286,7,8
Iteración No. 1,Aprendiz 1,36,306,92.25714286,5,9
Iteración No. 1,Aprendiz 1,36,306,92.25714286,9,10
Iteración No. 1,Aprendiz 1,36,306,92.25714286,11,11
Iteración No. 1,Aprendiz 1,36,306,92.25714286,10,12
Iteración No. 1,Aprendiz 1,36,306,92.25714286,18,13
Iteración No. 1,Aprendiz 1,36,306,92.25714286,15,14
Iteración No. 1,Aprendiz 1,36,306,92.25714286,22,15
Iteración No. 1,Aprendiz 1,36,306,92.25714286,13,16
Iteración No. 1,Aprendiz 1,36,306,92.25714286,20,17
Iteración No. 1,Aprendiz 1,36,306,92.25714286,16,18
Iteración No. 1,Aprendiz 1,36,306,92.25714286,24,19
Iteración No. 1,Aprendiz 1,36,306,92.25714286,17,20
Iteración No. 1,Aprendiz 1,36,306,92.25714286,23,21
Iteración No. 1,Aprendiz 1,36,306,92.25714286,21,22
Iteración No. 1,Aprendiz 1,36,306,92.25714286,19,23
Iteración No. 1,Aprendiz 1,36,306,92.25714286,14,24
Iteración No. 1,Aprendiz 1,36,306,92.25714286,26,25
Iteración No. 1,Aprendiz 1,36,306,92.25714286,34,26
Iteración No. 1,Aprendiz 1,36,306,92.25714286,33,27
Iteración No. 1,Aprendiz 1,36,306,92.25714286,36,28
Iteración No. 1,Aprendiz 1,36,306,92.25714286,32,29
Iteración No. 1,Aprendiz 1,36,306,92.25714286,28,30
Iteración No. 1,Aprendiz 1,36,306,92.25714286,30,31
Iteración No. 1,Aprendiz 1,36,306,92.25714286,31,32
Iteración No. 1,Aprendiz 1,36,306,92.25714286,35,33
Iteración No. 1,Aprendiz 1,36,306,92.25714286,27,34
Iteración No. 1,Aprendiz 1,36,306,92.25714286,29,35
